Item,Price (RM),Calories (kcal)
Yogurt Parfait,12,250
Almond Biscotti,5,120
Apple Turnover,6,320
Blueberry Scone,7,300
Cheese & Spinach Danish,8,330
Chocolate Muffin,7,350
Croissant,6,250
Cappuccino,12,120
Cold Brew Coffee,11,5
Espresso,8,5
Iced Coffee,10,180
Latte,12,150
Mocha,13,250
Lemonade,8,120
Banana Berry Smoothie,13,300
Chai Latte,12,200
Matcha Latte,13,180
Acai Bowl,20,350
Pesto Chicken Panini,16,500
Spaghetti Aglio e Olio,22,550
Spinach Ricotta Ravioli,28,620
Turkey Bacon Carbonara,26,650
Margherita Pizza,30,700
Turkey Pepperoni Pizza,32,720
Spinach & Mushroom Quiche,14,320
Caesar Salad,16,350
Chicken Cobb Salad,18,450
Fruit & Nut Salad,14,280
Greek Salad,15,300
Quinoa & Kale Salad,17,320
Beef Pastrami Sandwich,18,500
Chicken Avocado Sandwich,15,450
Tuna Salad Sandwich,14,420
Turkey Cranberry Sandwich,17,480
Veggie Hummus Sandwich,13,400
Pumpkin Soup,12,200
Tomato Basil Soup,12,180
Avocado Toast,14,250
Chicken Caesar Wrap,15,400
Falafel Wrap,14,380
